iter	Passed	Remaining
0	3364	26911207
1	6386	25541377
2	9289	24761422
3	12070	24128517
4	15004	23992611
5	17814	23734363
6	20633	23560442
7	23379	23356383
8	25877	22975941
9	29054	23214431
10	32392	23525522
11	35441	23592062
12	38406	23596402
13	41306	23562294
14	44219	23539718
15	46954	23430048
16	49333	23166212
17	52263	23175970
18	55153	23167541
19	57872	23091247
20	60674	23053536
21	62749	22755406
22	65394	22680670
23	67658	22485116
24	70514	22494250
25	73381	22505424
26	76565	22609564
27	78405	22323101
28	80318	22076431
29	82779	21991719
30	85454	21967198
31	88297	21985984
32	91239	22027350
33	94269	22086818
34	97212	22122868
35	99445	21999492
36	102308	22018549
37	105240	22050751
38	108273	22101691
39	110554	22000384
40	113058	21947071
41	115938	21967668
42	118796	21982825
43	121579	21983859
44	124939	22086440
45	127573	22059119
46	130475	22078051
47	133514	22118891
48	136337	22122833
49	139056	22110062
50	141765	22095913
51	144551	22094113
52	147281	22083944
53	150137	22092391
54	152870	22082822
55	154707	21946385
56	157548	21954528
57	159329	21817130
58	162362	21852895
59	164157	21723476
60	165257	21507881
61	168398	21560391
62	171447	21599619
63	174895	21687036
64	177864	21713105
65	180661	21717742
66	183518	21729097
67	186542	21759626
68	189304	21759066
69	192150	21767861
70	195045	21781857
71	197833	21783650
72	200673	21790889
73	203815	21830344
74	206633	21834287
75	207962	21682784
76	210995	21710659
77	213707	21704960
78	216911	21748806
79	219819	21762165
80	221724	21677026
81	224583	21685993
82	227146	21666482
83	230012	21675907
84	232570	21656406
85	235335	21656363
86	238307	21675029
87	241414	21705339
88	244385	21722890
89	247494	21751991
90	250245	21749398
91	253272	21770459
92	254560	21643158
93	257222	21634031
94	259194	21567712
95	261822	21556758
96	263730	21487234
97	265724	21426064
98	268411	21421376
99	269869	21319684
100	271607	21241855
101	274973	21291560
102	277819	21300370
103	281261	21354218
104	284643	21402503
105	286514	21337212
106	289830	21379706
107	292426	21368786
108	295700	21407070
109	299049	21449971
110	299817	21308668
111	302622	21313304
112	305601	21329918
113	308658	21351560
114	311862	21382933
115	314701	21388851
116	318148	21435598
117	320706	21422074
118	323687	21436822
119	325332	21363469
120	326375	21252198
121	327788	21166548
122	329183	21081120
123	332552	21122432
124	335632	21144872
125	338457	21150926
126	339721	21060040
127	342029	21034820
128	344915	21045170
129	347983	21066393
130	348932	20959924
131	351964	20979221
132	352700	20862353
133	355861	20889591
134	359228	20928377
135	362159	20941355
136	365098	20954514
137	368140	20973352
138	371059	20984883
139	373901	20991917
140	375011	20902233
141	378010	20918348
142	378716	20808233
143	380288	20746847
144	383496	20774936
145	386633	20798772
146	387422	20696775
147	389682	20674252
148	390583	20580352
149	390984	20461496
150	394489	20505639
151	395054	20397274
152	396614	20341377
153	399531	20355345
154	401069	20299309
155	403606	20294140
156	406076	20285732
157	407206	20210843
158	407753	20108153
159	410369	20108108
160	413432	20129786
161	413827	20022109
162	414213	19915268
163	416806	19915234
164	419392	19914794
165	421762	19904163
166	422689	19825925
167	425781	19849510
168	426431	19759690
169	427066	19670161
170	430425	19706433
171	431681	19646515
172	433693	19621483
173	435037	19566700
174	438308	19598649
175	441178	19612406
176	443929	19620689
177	446007	19599271
178	449151	19624679
179	451785	19627558
180	454771	19645633
181	455919	19584485
182	458978	19605658
183	460996	19582335
184	462416	19533974
185	464584	19517534
186	467659	19539178
187	470673	19558001
